"Product ID*";"Attribute (Name:Type:Position)*";"Value (Value:Position)*";"Supplier reference";"Reference";"EAN13";"UPC";"Wholesale price";"Impact on price";"Ecotax";"Quantity";"Minimal quantity";"Impact on weight";"Default (0 = No, 1 = Yes)";"Combination available date";"Image position";"Image URL";"Delete existing images (0 = No, 1 = Yes)";"ID / Name of shop";"Advanced Stock Managment";"Depends on stock";"Warehouse"
16;"Modèle:select:0";"Housse Target:0";;"ERA_FUN_TARGET_HOU";;;;;;0;;0;0;;0;;0;0;0;0;
17;"Taille:select:0#Couleur:select:1";"xm:0#Vert:1";;"ERA_WIND";;;;;;0;;0;0;;0;;0;0;0;0;
18;"Taille:select:0#Couleur:select:1";"xm:0#Vert:1";;"ERA_SUN";;;;;;0;;0;0;;0;;0;0;0;0;
19;"Taille:select:0#Couleur:select:1";"XS:0#Noir:1";;"ARMGUARD_TECH";;;;;;0;;0;0;;1;"http://44.dev.dfx.fr/import/declinaisons/armg soft tech ext noir.jpg#http://44.dev.dfx.fr/import/declinaisons/armg tech int noir.jpg";0;0;0;0;
19;"Taille:select:0#Couleur:select:1";"S:0#Noir:1";;"ARMGUARD_TECH";;;;;;0;;0;0;;1;"http://44.dev.dfx.fr/import/declinaisons/armg soft tech ext noir.jpg#http://44.dev.dfx.fr/import/declinaisons/armg tech int noir.jpg";0;0;0;0;
19;"Taille:select:0#Couleur:select:1";"M:0#Noir:1";;"ARMGUARD_TECH";;;;;;0;;0;0;;1;"http://44.dev.dfx.fr/import/declinaisons/armg soft tech ext noir.jpg#http://44.dev.dfx.fr/import/declinaisons/armg tech int noir.jpg";0;0;0;0;
19;"Taille:select:0#Couleur:select:1";"L:0#Noir:1";;"ARMGUARD_TECH";;;;;;0;;0;0;;1;"http://44.dev.dfx.fr/import/declinaisons/armg soft tech ext noir.jpg#http://44.dev.dfx.fr/import/declinaisons/armg tech int noir.jpg";0;0;0;0;
19;"Taille:select:0#Couleur:select:1";"XL:0#Noir:1";;"ARMGUARD_TECH";;;;;;0;;0;0;;1;"http://44.dev.dfx.fr/import/declinaisons/armg soft tech ext noir.jpg#http://44.dev.dfx.fr/import/declinaisons/armg tech int noir.jpg";0;0;0;0;
19;"Taille:select:0#Couleur:select:1";"XS:0#Rose:1";;"ARMGUARD_TECH";;;;;;0;;0;0;;1;"http://44.dev.dfx.fr/import/declinaisons/armg soft tech ext rose.jpg#http://44.dev.dfx.fr/import/declinaisons/armg tech int rose.jpg";0;0;0;0;
19;"Taille:select:0#Couleur:select:1";"S:0#Rose:1";;"ARMGUARD_TECH";;;;;;0;;0;0;;1;"http://44.dev.dfx.fr/import/declinaisons/armg soft tech ext rose.jpg#http://44.dev.dfx.fr/import/declinaisons/armg tech int rose.jpg";0;0;0;0;
